total_kills,league_mean_kills,league,mean_total_kills_t1,mean_total_kills_t2,bet_line,bet_value,bet_status,house_odds,actual_value,impact_top_t1,impact_top_t2,impact_jung_t1,impact_jung_t2,impact_mid_t1,impact_mid_t2,impact_adc_t1,impact_adc_t2,impact_sup_t1,impact_sup_t2,won_bet,profit_bet,prob_under,aposta_vencedora,lucro_aposta,probabilidade_under,valor_esperado,recomendado_modelo
32,27.14814814814815,LEC,26.66304347826087,28.75675675675676,under,25.5,lost,1.83,31.0,0.0,0.0,0.0,-0.7760435577368519,0.0,0.0,-0.913098065074376,-0.8113044475574895,-1.1261807448375052,0.4654990225793156,0,-1.0,0.6802268959984413,0,-1.0,0.6802268959984413,0.2448152196771477,True
40,28.83148148148148,LCK,29.335714285714285,30.272058823529413,under,30.5,lost,1.83,40.0,0.0,-1.155716943849221,-1.0332368361565436,-0.6320467219229506,-0.8095983863874423,0.6655385399034301,0.0,-0.8113044475574895,-0.6816806276591585,0.0,0,-1.0,0.6787573477935844,0,-1.0,0.6787573477935844,0.2421259464622596,True
19,27.25563909774436,LCP,25.638297872340427,30.33333333333333,under,26.5,won,1.83,19.0,-1.155716943849221,0.0,-0.7760435577368519,-0.6320467219229506,0.0,0.0,0.7520050888007717,0.0,0.4654990225793156,-0.9659723665617116,1,0.8300000000000001,0.6779100928603524,1,0.8300000000000001,0.6779100928603524,0.240575469934445,True
31,27.25563909774436,LCP,26.557692307692307,27.753846153846155,under,26.5,lost,1.83,31.0,0.0,0.0,-0.6320467219229506,0.0,0.0,-0.8095983863874423,0.9020397066897204,0.7520050888007717,-1.078880905409381,0.0,0,-1.0,0.6761530560862882,0,-1.0,0.6761530560862882,0.23736009263790736,True
31,31.37037037037037,CD,33.170212765957444,29.923076923076923,under,31.5,won,1.83,31.0,0.0,0.0,-2.0515084196455184,-0.6320467219229506,0.0,0.0,-0.8113044475574895,0.0,-0.6816806276591585,0.0,1,0.8300000000000001,0.6705224085476307,1,0.8300000000000001,0.6705224085476307,0.22705600764216416,True
21,28.83148148148148,LCK,27.80434782608696,29.335714285714285,under,30.5,won,1.83,21.0,0.0,0.0,-0.7760435577368519,-0.6320467219229506,-1.0617142411045393,0.0,-0.8113044475574895,0.9020397066897204,0.4654990225793156,-1.078880905409381,1,0.8300000000000001,0.6698453289620223,1,0.8300000000000001,0.6698453289620223,0.2258169520005009,True
19,27.25563909774436,LCP,27.753846153846155,25.638297872340427,under,24.5,won,1.83,19.0,-0.5685724682663711,0.0,-2.4473084787996164,0.8434335133614894,-1.234138311281054,0.0,0.0,-0.468056459937813,1.120551452057974,0.4654990225793156,1,0.8300000000000001,0.6690287856731318,1,0.8300000000000001,0.6690287856731318,0.22432267778183135,True
17,29.229559748427672,LFL,26.232558139534884,29.57943925233645,under,28.5,won,1.83,17.0,0.0,0.0,-0.7760435577368519,-0.6320467219229506,1.2815801036603958,0.0,0.0,0.0,-2.2426813296105834,1.563734720205872,1,0.8300000000000001,0.666503266810246,1,0.8300000000000001,0.666503266810246,0.21970097826275015,True
18,27.25563909774436,LCP,26.91489361702128,27.753846153846155,under,25.5,won,1.83,18.0,0.0,0.5609560677137821,0.0,-0.6320467219229506,0.0,-0.8095983863874423,0.0,-0.8113044475574895,0.0,-0.6816806276591585,1,0.8300000000000001,0.663223390946036,1,0.8300000000000001,0.663223390946036,0.21369880543124586,True
22,27.25563909774436,LCP,27.753846153846155,30.5,under,25.5,won,1.83,22.0,-0.5685724682663711,-1.5721442954792302,1.256750867247696,0.0,0.0,0.0,-0.913098065074376,0.0,-1.1261807448375052,-0.6816806276591585,1,0.8300000000000001,0.6555144821138116,1,0.8300000000000001,0.6555144821138116,0.19959150226827527,True
